Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.011512,22.250493,253.828915,2578.667507,148.002963,451.461162,0.06287,-0.198475,19.826081,0.518327,8.427727,0.006768,1.152221
0.011762,21.360312,250.202747,2576.232787,148.048448,450.666729,0.179465,0.054911,20.428364,0.514459,8.676557,0.006777,1.14542
0.012012,20.594275,244.22135,2578.199778,148.040982,450.414673,0.332189,-0.001201,20.119362,0.500258,8.520396,0.006809,1.177232
0.012262,19.773138,250.10314,2579.802702,147.995886,450.011055,0.147179,0.145173,20.184067,0.489787,8.613647,0.006809,1.446805
0.012513,19.47244,250.350629,2579.741389,148.016792,450.543177,0.232304,0.368627,19.57936,0.506528,8.621628,0.006728,1.249713
0.012763,18.876422,245.537063,2581.492517,148.029791,451.407383,0.113756,0.155666,19.591086,0.507697,8.382748,0.006696,1.172209
0.013013,18.021875,244.039172,2583.378413,148.015799,450.038254,0.248543,0.215654,20.074697,0.491664,8.499114,0.006691,1.111165
0.013263,17.961089,250.790374,2579.771017,148.016997,450.509375,0.252106,0.196916,19.879793,0.476187,8.304017,0.006792,1.208059
0.013514,17.684397,248.736244,2579.385471,148.03349,451.621208,0.180116,-0.26392,19.321355,0.501002,8.597114,0.006719,1.196548
0.013764,16.579482,248.90492,2581.107377,148.036189,450.34839,0.025672,-0.086901,19.079205,0.510633,8.765783,0.006753,1.036001
0.014014,16.867183,241.168558,2581.659282,148.035781,451.199523,0.022777,0.323742,19.064576,0.498056,8.638765,0.006698,1.362692
0.014264,16.119643,240.280625,2583.21346,148.043272,451.350191,0.137756,0.492685,19.425675,0.498672,8.525695,0.006778,1.515397
0.014515,15.480481,244.642718,2584.19466,148.064526,450.080307,0.146549,0.537836,19.41165,0.494955,8.361198,0.006759,1.335356
0.014765,14.374463,250.142071,2585.073227,147.998407,450.571204,0.31588,0.15215,19.411348,0.500786,8.428886,0.006726,1.618977
0.015015,13.598774,244.331829,2580.932245,148.061989,451.591932,0.167129,0.09212,18.915335,0.511904,8.488966,0.006744,1.378657
0.015265,13.883495,244.20634,2583.871124,148.001016,450.599487,0.077628,-0.086039,19.133863,0.501122,8.458687,0.00673,1.644613
