Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.01001,25.391749,250.328336,2575.230288,148.007612,450.297662,0.13028,0.074712,20.618766,0.542422,8.365072,0.006833,0.901104
0.01026,24.751637,249.97818,2575.749743,148.008562,450.332377,0.134522,0.082048,20.549024,0.535973,8.377991,0.006827,0.919822
0.010511,24.101449,249.810227,2576.181078,148.010158,450.313469,0.13459,0.08079,20.487913,0.530365,8.388266,0.006822,0.933754
0.010761,23.459329,249.568238,2576.670396,148.01113,450.343223,0.134931,0.072803,20.420529,0.524963,8.396979,0.006816,0.951284
0.011011,22.837173,249.432379,2577.094431,148.012527,450.363156,0.137868,0.078721,20.327342,0.519885,8.418123,0.006812,0.972875
0.011261,22.176541,249.119103,2577.556041,148.015001,450.353913,0.141772,0.067507,20.252937,0.516121,8.428871,0.006806,1.001193
0.011512,21.548961,248.967824,2578.047637,148.016716,450.380398,0.143947,0.066571,20.169361,0.511809,8.427546,0.0068,1.032642
0.011762,20.940961,248.86507,2578.440252,148.019285,450.416999,0.147392,0.07573,20.124618,0.508421,8.434746,0.006794,1.081776
0.012012,20.336362,248.475791,2578.865041,148.019645,450.485607,0.1447,0.075994,20.044632,0.504986,8.44341,0.00679,1.103998
0.012262,19.739051,248.420069,2579.371455,148.019535,450.528078,0.144382,0.090825,19.962434,0.502883,8.463362,0.006781,1.137943
0.012513,19.177505,247.961656,2579.925646,148.022452,450.555829,0.146829,0.098185,19.865398,0.501079,8.481808,0.006773,1.163837
0.012763,18.631777,247.764353,2580.45586,148.024552,450.585101,0.152454,0.111575,19.768317,0.499413,8.496135,0.006767,1.19027
0.013013,18.074335,247.112688,2580.862628,148.025571,450.601242,0.157224,0.129739,19.68752,0.498274,8.508491,0.006762,1.225495
0.013263,17.524814,246.906301,2581.339543,148.027653,450.664164,0.162416,0.138145,19.614285,0.496715,8.509986,0.006753,1.25509
0.013514,16.981297,246.502998,2581.757148,148.0298,450.684882,0.159329,0.140425,19.535578,0.495845,8.511129,0.006746,1.262936
0.013764,16.458929,246.225835,2582.201909,148.031497,450.72571,0.161628,0.143508,19.481733,0.496069,8.523039,0.006742,1.305139
0.014014,15.939125,246.012756,2582.736095,148.032867,450.781365,0.158843,0.14936,19.405524,0.496271,8.535708,0.006734,1.337227
0.014264,15.429108,245.41442,2583.200798,148.034081,450.820907,0.165608,0.172419,19.322665,0.496283,8.532816,0.006728,1.367642
0.014515,14.954203,245.053641,2583.599447,148.033981,450.845466,0.166134,0.197086,19.228242,0.497681,8.531892,0.00672,1.394005
0.014765,14.479118,244.851881,2584.061185,148.035522,450.906603,0.166624,0.207037,19.152714,0.499158,8.535056,0.006715,1.436514
0.015015,14.025911,244.33685,2584.453491,148.036638,450.911107,0.169072,0.211793,19.090837,0.499877,8.547684,0.006707,1.461883
0.015265,13.600744,244.008169,2584.827586,148.038295,450.929831,0.178251,0.212516,19.02318,0.501998,8.566743,0.006703,1.499235
0.015516,13.201088,243.925611,2585.142245,148.042692,450.96638,0.18591,0.220551,18.961042,0.503982,8.569818,0.006699,1.527416
0.015766,12.773621,243.50137,2585.591237,148.046013,451.009407,0.19349,0.216651,18.907243,0.505738,8.575496,0.006693,1.551493
0.016016,12.388762,243.125996,2585.971779,148.048891,451.042621,0.194096,0.215907,18.847439,0.508237,8.583479,0.006688,1.579605
0.016266,12.011884,242.624998,2586.311038,148.051831,451.037627,0.195194,0.237626,18.763106,0.51103,8.584211,0.006685,1.603078
0.016517,11.621803,242.234894,2586.803163,148.053977,451.069801,0.192916,0.24499,18.672183,0.51403,8.5892,0.006681,1.629362
0.016767,11.272878,241.678101,2587.231002,148.056804,451.114173,0.200182,0.265871,18.581408,0.516784,8.6019,0.006675,1.654089
