Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0.008759,-2853.031252,-899.422218,1916.02357,0.600713,129.368486,5.479749,5.712551,-276.507149,-43.928762,52.834338,-0.020159,89.297224
0.009009,-2826.38115,-917.707392,1910.305216,0.798689,129.392235,5.715307,6.02136,-279.045879,-40.959284,52.051908,-0.020362,89.813425
0.009259,-2798.692291,-936.632289,1904.319862,1.004111,129.415912,5.962956,6.351017,-281.444409,-38.114602,51.245343,-0.020557,90.339835
0.00951,-2769.919833,-956.218788,1898.05214,1.217281,129.439514,6.223267,6.703071,-283.70886,-35.387671,50.413757,-0.020744,90.876162
0.00976,-2740.01788,-976.488755,1891.485968,1.438506,129.463037,6.496809,7.079171,-285.844967,-32.771788,49.556259,-0.020923,91.422038
0.01001,-2708.939676,-997.46387,1884.60456,1.668096,129.486477,6.784142,7.481069,-287.858087,-30.260582,48.671955,-0.021096,91.977008
0.01026,-2676.637845,-1019.165429,1877.390465,1.906364,129.509831,7.085811,7.910621,-289.753217,-27.848,47.759959,-0.021262,92.54052
0.010511,-2643.064708,-1041.614113,1869.825614,2.153624,129.533093,7.402333,8.369789,-291.534999,-25.528307,46.819395,-0.021422,93.111921
0.010761,-2608.172658,-1064.829719,1861.891396,2.410188,129.55626,7.734182,8.860638,-293.207737,-23.296071,45.849412,-0.021576,93.690445
0.011011,-2571.914619,-1088.830856,1853.568762,2.676361,129.579327,8.081778,9.38533,-294.775404,-21.146162,44.849192,-0.021726,94.275205
0.011261,-2534.244595,-1113.634597,1844.838355,2.95244,129.602289,8.445468,9.946118,-296.241657,-19.073752,43.817961,-0.021871,94.865185
0.011512,-2495.118311,-1139.256087,1835.680685,3.238708,129.625141,8.8255,10.545333,-297.609845,-17.074307,42.755006,-0.022011,95.459237
0.011762,-2454.493974,-1165.708108,1826.07634,3.535431,129.647877,9.222008,11.185371,-298.883025,-15.143592,41.659686,-0.022148,96.056075
0.012012,-2412.333129,-1193.000604,1816.006245,3.842852,129.670492,9.634976,11.868668,-300.063978,-13.277671,40.531454,-0.022281,96.654275
0.012262,-2368.601653,-1221.140153,1805.451973,4.161183,129.69298,10.064214,12.597677,-301.155219,-11.472912,39.369873,-0.022411,97.252272
0.012513,-2323.270858,-1250.129409,1794.396113,4.490601,129.715335,10.50932,13.374835,-302.159024,-9.725992,38.174637,-0.022538,97.848367
0.012763,-2276.318728,-1279.966506,1782.822693,4.83124,129.737551,10.969647,14.202521,-303.077442,-8.033901,36.945594,-0.022663,98.440737
0.013013,-2227.73126,-1310.64444,1770.717669,5.18318,129.75962,11.444262,15.08301,-303.912325,-6.393949,35.682766,-0.022785,99.027448
0.013263,-2177.50392,-1342.15043,1758.069474,5.546442,129.781537,11.931909,16.018418,-304.665352,-4.803776,34.386378,-0.022906,99.606472
0.013514,-2125.643169,-1374.465292,1744.869615,5.920978,129.803295,12.430965,17.010637,-305.33806,-3.261357,33.056877,-0.023025,100.175714
0.013764,-2072.168054,-1407.562822,1731.113331,6.306659,129.824887,12.939403,18.061266,-305.931876,-1.765006,31.694958,-0.023142,100.733045
0.014014,-2017.111807,-1441.409232,1716.800282,6.70327,129.846305,13.45476,19.171534,-306.448159,-0.313386,30.301587,-0.023259,101.27634
0.014264,-1960.5234,-1475.962647,1701.935257,7.110497,129.867544,13.974101,20.342213,-306.888235,1.094492,28.878021,-0.023374,101.803522
0.014515,-1902.469011,-1511.172705,1686.528885,7.527922,129.888596,14.494004,21.573535,-307.253442,2.459269,27.425824,-0.023488,102.312613
0.014765,-1843.033308,-1546.980281,1670.598314,7.955011,129.909455,15.010549,22.865103,-307.545176,3.781243,25.946882,-0.023601,102.801794
0.015015,-1782.320486,-1583.317377,1654.167822,8.391113,129.930114,15.519324,24.215806,-307.76493,5.060379,24.443409,-0.023713,103.26946
0.015265,-1720.454953,-1620.107194,1637.26934,8.835451,129.950568,16.015452,25.623743,-307.914344,6.296325,22.917949,-0.023824,103.714281
0.015516,-1657.581602,-1657.264422,1619.942816,9.287125,129.97081,16.493636,27.086151,-307.99524,7.488433,21.373369,-0.023934,104.135263
0.015766,-1593.865569,-1694.695773,1602.236409,9.745107,129.990837,16.948227,28.599357,-308.009657,8.63579,19.812844,-0.024044,104.531806
0.016016,-1529.491406,-1732.300751,1584.20646,10.208251,130.010643,17.373326,30.158747,-307.959882,9.737254,18.239834,-0.024151,104.903744
0.016266,-1464.661638,-1769.972681,1565.917204,10.675297,130.030225,17.762896,31.758759,-307.848464,10.791499,16.658048,-0.024258,105.251389
0.016517,-1399.594653,-1807.599974,1547.440213,11.144883,130.04958,18.110913,33.39291,-307.678226,11.797066,15.071406,-0.024362,105.57555
0.016767,-1334.521962,-1845.067609,1528.853542,11.615558,130.068706,18.411523,35.053847,-307.452257,12.752416,13.483986,-0.024465,105.877542
0.017017,-1269.684853,-1882.258794,1510.240608,12.085807,130.087603,18.659221,36.733438,-307.173895,13.655993,11.899963,-0.024565,106.159173
0.017267,-1205.330526,-1919.056754,1491.688794,12.554062,130.10627,18.849036,38.422889,-306.846704,14.506285,10.323556,-0.024662,106.422712
0.017518,-1141.707851,-1955.346587,1473.287852,13.018735,130.12471,18.976705,40.112896,-306.474424,15.301886,8.75895,-0.024756,106.670842
0.017768,-1079.062866,-1991.017129,1455.128138,13.478239,130.142924,19.038848,41.79382,-306.060929,16.041558,7.210238,-0.024847,106.90659
0.018018,-1017.634227,-2025.962746,1437.298757,13.931014,130.160915,19.033106,43.455871,-305.610167,16.724283,5.681349,-0.024933,107.133248
0.018268,-957.648761,-2060.084996,1419.885705,14.375558,130.17869,18.958256,45.089319,-305.126098,17.349319,4.17599,-0.025015,107.35428
0.018519,-899.317331,-2093.294097,1402.97008,14.810447,130.196252,18.814283,46.684694,-304.612636,17.91623,2.697588,-0.025093,107.573222
0.018769,-842.831173,-2125.510146,1386.626443,15.234359,130.21361,18.602409,48.232983,-304.073585,18.424928,1.249243,-0.025165,107.793585
0.019019,-788.358836,-2156.664064,1370.921402,15.646099,130.230769,18.325067,49.725812,-303.512592,18.875685,-0.16631,-0.025231,108.018754
0.019269,-736.043849,-2186.698231,1355.912476,16.04461,130.247739,17.98584,51.155607,-302.933094,19.269141,-1.546729,-0.025292,108.2519
0.01952,-686.00316,-2215.566809,1341.647264,16.428989,130.264529,17.589344,52.515724,-302.338287,19.606309,-2.890079,-0.025347,108.495903
0.01977,-638.326374,-2243.235769,1328.16296,16.798496,130.281147,17.141081,53.800547,-301.731099,19.888552,-4.194842,-0.025395,108.753288
0.02002,-593.075769,-2269.682641,1315.486183,17.152553,130.297604,16.647264,55.005555,-301.114176,20.117568,-5.45991,-0.025437,109.026176
0.02027,-550.287021,-2294.896001,1303.633137,17.490752,130.31391,16.114622,56.127347,-300.489875,20.295356,-6.684571,-0.025473,109.316253
0.020521,-509.970556,-2318.874774,1292.610034,17.812842,130.330075,15.550194,57.163647,-299.860269,20.42418,-7.868489,-0.025502,109.624759
0.020771,-472.113413,-2341.627354,1282.413768,18.118729,130.34611,14.961135,58.113264,-299.227162,20.50653,-9.011675,-0.025524,109.952482
0.021021,-436.681503,-2363.17062,1273.032756,18.40846,130.362023,14.354525,58.976035,-298.592104,20.545077,-10.114454,-0.025541,110.29978
0.021271,-403.622134,-2383.528872,1264.447928,18.682214,130.377826,13.7372,59.75275,-297.956413,20.54263,-11.177433,-0.025551,110.666604
0.021522,-372.86669,-2402.732739,1256.633787,18.940283,130.393528,13.115609,60.445052,-297.3212,20.502094,-12.201459,-0.025555,111.052532
0.021772,-344.333352,-2420.81809,1249.559499,19.183062,130.409139,12.4957,61.055333,-296.687396,20.426422,-13.187584,-0.025553,111.456815
0.022022,-317.929771,-2437.824981,1243.189985,19.411033,130.424667,11.882831,61.586623,-296.055771,20.318587,-14.137025,-0.025546,111.878419
0.022272,-293.555616,-2453.796655,1237.486956,19.624742,130.44012,11.281717,62.042476,-295.426964,20.181534,-15.051135,-0.025534,112.316076
0.022523,-271.104948,-2468.778624,1232.409886,19.824794,130.455507,10.696396,62.426859,-294.801501,20.018161,-15.931361,-0.025516,112.768329
0.022773,-250.468366,-2482.817838,1227.916897,20.011833,130.470836,10.130233,62.744049,-294.179813,19.831282,-16.779222,-0.025495,113.233583
